data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
04/02/2010;12:17:00;46;com vitima;120,4;BR-293/RS;Norte;Saida de Pista;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0
04/02/2010;06:18:00;16;com vitima;621,4;BR-116/RS;Sul;Colisao com Objeto Fixo;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0
04/02/2010;02:37:00;6;sem vitima;655,1;BR-116/RS;Norte;Colisao Traseira;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
05/02/2010;19:33:00;95;com vitima;480,9;BR-116/RS;Sul;Saida de Pista;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
05/02/2010;02:11:00;7;com vitima;54,6;BR-293/RS;Norte;Saida de Pista;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
05/02/2010;07:26:00;13;sem vitima;523,9;BR-116/RS;Norte;Colisao Traseira;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
05/02/2010;18:39:00;89;sem vitima;527,2;BR-116/RS;Sul;Saida de Pista;1;0;0;0;0;0;;0;0;0;2;0;0;0;0
06/02/2010;14:31:00;50;com vitima;581,1;BR-116/RS;Norte;Colisao Traseira;1;0;0;0;0;0;;0;0;0;0;2;0;0;0
07/02/2010;05:01:00;13;com vitima;29,8;BR-293/RS;Norte;Saida de Pista;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
07/02/2010;19:38:00;84;sem vitima;2;BR-604/RS;Sul;Colisao Traseira;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
07/02/2010;20:12:00;88;com vitima;61,1;BR-392/RS;Sul;Tombamento;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0
07/02/2010;18:27:00;76;com vitima;528,5;BR-116/RS;Norte;Abalr.Transversal;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
07/02/2010;21:27:00;96;sem vitima;580,8;BR-116/RS;Sul;Atropelamento;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0
08/02/2010;11:02:00;55;com vitima;1;BR-604/RS;Sul;Tombamento;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
08/02/2010;21:46:00;111;com vitima;26,1;BR-293/RS;Norte;Tombamento;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
08/02/2010;20:53:00;106;sem vitima;520,8;BR-116/RS;Norte;Abalr.Transversal;2;1;0;0;0;0;0;0;0;0;4;0;0;0;0
08/02/2010;11:04:00;56;com vitima;613,4;BR-116/RS;Sul;Colisao Traseira;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
